Log data
地址       消息
76320000   卸载 C:\WINDOWS.0\system32\comdlg32.dll
765E0000   卸载 C:\WINDOWS.0\system32\crypt32.dll
76680000   卸载 C:\WINDOWS.0\system32\wininet.dll
76990000   卸载 C:\WINDOWS.0\system32\ole32.dll
76B10000   卸载 C:\WINDOWS.0\system32\winmm.dll
76BC0000   卸载 C:\WINDOWS.0\system32\psapi.dll
76C00000   卸载 C:\WINDOWS.0\system32\wintrust.dll
76C60000   卸载 C:\WINDOWS.0\system32\imagehlp.dll
76D30000   卸载 C:\WINDOWS.0\system32\iphlpapi.dll
76DB0000   卸载 C:\WINDOWS.0\system32\msasn1.dll
76E50000   卸载 C:\WINDOWS.0\system32\rtutils.dll
76E60000   卸载 C:\WINDOWS.0\system32\rasman.dll
76E80000   卸载 C:\WINDOWS.0\system32\tapi32.dll
76EB0000   卸载 C:\WINDOWS.0\system32\rasapi32.dll
76EF0000   卸载 C:\WINDOWS.0\system32\dnsapi.dll
76F20000   卸载 C:\WINDOWS.0\system32\wtsapi32.dll
76F90000   卸载 C:\WINDOWS.0\system32\rasadhlp.dll
76FA0000   卸载 C:\WINDOWS.0\system32\clbcatq.dll
77020000   卸载 C:\WINDOWS.0\system32\comres.dll
770F0000   卸载 C:\WINDOWS.0\system32\oleaut32.dll
77180000   卸载 C:\WINDOWS.0\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83\comctl32.dll
77BD0000   卸载 C:\WINDOWS.0\system32\version.dll
77BE0000   卸载 C:\WINDOWS.0\system32\msvcrt.dll
77D10000   卸载 C:\WINDOWS.0\system32\USER32.dll
77DA0000   卸载 C:\WINDOWS.0\system32\ADVAPI32.dll
77E50000   卸载 C:\WINDOWS.0\system32\RPCRT4.dll
77EF0000   卸载 C:\WINDOWS.0\system32\GDI32.dll
77F40000   卸载 C:\WINDOWS.0\system32\shlwapi.dll
77FC0000   卸载 C:\WINDOWS.0\system32\Secur32.dll
78130000   卸载 C:\WINDOWS.0\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.4053_x-ww_e6967989\MSVCR80.dll
7C420000   卸载 C:\WINDOWS.0\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.4053_x-ww_e6967989\msvcp80.dll
7C630000   卸载 C:\WINDOWS.0\WinSxS\x86_Microsoft.VC80.ATL_1fc8b3b9a1e18e3b_8.0.50727.4053_x-ww_473666fd\ATL80.DLL
7C800000   卸载 C:\WINDOWS.0\system32\kernel32.dll
7C920000   卸载 C:\WINDOWS.0\system32\ntdll.dll
7D590000   卸载 C:\WINDOWS.0\system32\shell32.dll
           进程已终止
